"user_id","user_created_at","gender","date_of_birth"
"258","2016-08-15 04:05:25",Unknown,""
"360","2017-03-29 09:20:16",Male,"1981-01-10"
"438","2017-09-21 14:05:09",Male,"2019-01-01"
"451","2017-10-03 09:45:01",Unknown,""
"467","2017-11-02 15:18:23",Unknown,""
"483","2017-11-17 12:56:10",Unknown,""
"492","2017-12-05 09:54:48",Unknown,""
"501","2017-12-13 16:53:16",Unknown,""
"504","2017-12-20 09:31:39",Male,"1982-08-15"
"510","2018-01-02 20:15:11",Unknown,""
"519","2018-01-17 10:40:58",Unknown,""
"520","2018-01-17 14:18:39",Unknown,""
"523","2018-01-22 10:41:20",Female,"1997-08-19"
"526","2018-01-31 14:42:58",Unknown,""
"527","2018-02-06 20:39:41",Unknown,""
"528","2018-02-07 11:26:35",Male,"1988-01-15"
"529","2018-02-07 13:12:39",Female,"1992-09-17"
"537","2018-02-22 14:32:51",Unknown,""
"542","2018-03-07 10:42:55",Female,"1976-05-21"
"552","2018-04-13 08:57:59",Unknown,""
"553","2018-04-15 08:48:04",Unknown,""
"554","2018-04-18 09:32:16",Unknown,""
"571","2018-05-13 13:27:00",Unknown,""
"577","2018-05-22 11:32:04",Unknown,""
"595","2018-06-13 10:46:35",Female,"1991-06-05"
"816","2018-07-04 10:19:01",Female,""
"834","2018-07-24 08:24:59",Female,"1989-03-19"
"868","2018-08-23 09:03:58",Unknown,""
"886","2018-09-05 00:12:03",Female,"1962-05-03"
"901","2018-09-16 16:29:49",Male,"1983-12-11"
"937","2018-10-03 18:36:42",Female,"2001-07-03"
"940","2018-10-04 15:30:28",Unknown,""
"1017","2018-11-07 20:49:17",Female,"1980-06-25"
"1116","2018-12-05 11:18:09",Unknown,""
"1463","2019-02-09 00:07:00",Unknown,""
"1529","2019-02-18 18:34:54",Unknown,""
"1730","2019-03-21 13:16:19",Female,"1989-01-09"
"2008","2019-04-20 09:13:21",Male,"1979-01-20"
"2129","2019-05-05 11:49:34",Female,"1993-01-06"
"2194","2019-05-16 15:43:52",Female,"1951-03-12"
"2373","2019-05-17 17:36:14",Female,"1979-01-14"
"2626","2019-05-22 13:29:26",Female,"1986-06-13"
"2644","2019-05-22 21:16:34",Male,"1963-12-05"
"2729","2019-05-27 00:04:17",Female,"1988-08-20"
"2815","2019-06-03 21:57:35",Male,"1966-12-20"
"3610","2019-06-19 09:15:12",Female,"1989-03-10"
"3900","2019-07-09 11:36:52",Female,"1981-09-03"
"4689","2019-09-09 16:26:36",Female,"1999-07-04"
"5066","2019-10-11 16:01:39",Male,"1970-03-15"
"5308","2019-10-16 12:12:19",Male,"1990-04-08"
"5322","2019-10-17 21:13:05",Male,"1975-10-26"
"5439","2019-10-27 12:36:57",Female,"1994-01-14"
"5483","2019-10-31 13:41:10",Female,"1987-04-20"
"6135","2020-01-07 13:25:04",Female,"1993-07-07"
"6145","2020-01-08 07:36:58",Female,"1980-06-11"
"6492","2020-01-26 15:45:58",Female,"1985-08-06"
"6506","2020-01-27 14:38:49",Female,"2001-07-04"
"6957","2020-02-08 22:54:07",Female,"1987-11-26"
"6968","2020-02-09 03:55:35",Female,"1985-02-26"
"7073","2020-02-10 12:21:17",Female,"1990-12-13"
"7371","2020-02-28 17:34:16",Female,"1987-09-16"
"7487","2020-03-11 13:12:44",Male,"2006-03-11"
"7771","2020-03-31 05:54:06",Female,"1997-02-05"
"7916","2020-04-13 20:13:21",Female,"2003-09-17"
"7968","2020-04-17 13:35:20",Female,"2005-07-09"
"8044","2020-04-19 01:06:38",Female,"2000-12-19"
"8342","2020-04-27 23:43:43",Male,"2003-01-30"
"8964","2020-05-15 09:46:25",Female,""
"9294","2020-05-22 11:31:49",Male,"1973-05-14"
"11899","2020-06-29 17:19:11",Unknown,""
"12428","2020-07-05 10:14:48",Male,"2004-01-28"
"12679","2020-07-08 12:55:43",Female,"1979-02-09"
"12780","2020-07-09 08:50:57",Male,"2010-01-08"
"12801","2020-07-09 11:38:08",Male,"2003-01-07"
"13380","2020-07-14 10:05:34",Male,"2012-01-20"
"13672","2020-07-18 10:50:34",Male,"1978-07-07"
"13877","2020-07-20 17:58:48",Male,"1989-11-12"
"14150","2020-07-23 12:34:17",Male,"1990-09-10"
"14457","2020-07-25 11:31:57",Female,"1964-02-06"
"14982","2020-07-29 21:13:56",Female,"1978-01-24"
"15071","2020-07-31 08:32:09",Male,"1981-10-09"
"15153","2020-08-02 11:46:37",Male,"1976-06-27"
"15173","2020-08-02 20:23:18",Male,"1990-05-12"
"15193","2020-08-03 09:58:01",Female,"1996-11-06"
"15204","2020-08-03 12:18:11",Male,"1987-07-16"
"15238","2020-08-03 20:58:01",Female,"1985-05-11"
"15371","2020-08-06 08:00:15",Female,"1987-09-16"
"15382","2020-08-06 11:55:53",Male,""
"15450","2020-08-08 14:45:26",Female,""
"15625","2020-08-12 09:20:45",Male,"1970-01-09"
"15669","2020-08-13 08:41:38",Male,"1972-05-08"
"15859","2020-08-17 12:10:18",Female,"1982-04-21"
"16383","2020-08-26 16:06:49",Female,"1956-04-24"
"17200","2020-09-16 20:47:24",Male,"1994-03-03"
"17929","2020-10-06 09:43:51",Male,"1982-10-02"
"18659","2020-10-28 14:55:24",Female,"1975-03-10"
"18817","2020-11-04 11:33:45",Female,"1991-07-29"
"18836","2020-11-04 23:43:59",Female,"1970-03-13"
"18891","2020-11-08 13:25:50",Male,"1987-11-24"
"19264","2020-11-24 18:10:17",Female,"2000-02-10"
"19515","2020-12-07 15:38:23",Unknown,""
"19548","2020-12-09 14:26:56",Female,"1995-08-06"
"20163","2021-01-11 19:30:30",Male,"1975-06-22"
"20207","2021-01-13 10:04:14",Female,"1988-01-31"
"21552","2021-02-25 14:01:11",Female,"1966-11-22"
"22083","2021-03-10 13:44:21",Female,"1973-02-10"
"23081","2021-04-14 15:03:04",Female,"1981-01-21"
